Output,MaxOutput
101,200
100,200
101,200
102,200
102,200
101,200
101,200
102,200
102,200
101,200
102,200
102,200
101,200
102,200
102,200
103,200
102,200
103,200
104,200
105,200
106,200
105,200
106,200
106,200
105,200
105,200
105,200
105,200
104,200
103,200
103,200
102,200
103,200
104,200
103,200
104,200
103,200
103,200
102,200
101,200
101,200
101,200
101,200
100,200
100,200
99,200
99,200
99,200
99,200
98,200
97,200
97,200
96,200
95,200
95,200
95,200
96,200
95,200
95,200
96,200
97,200
96,200
95,200
94,200
94,200
95,200
96,200
97,200
98,200
99,200
99,200
98,200
99,200
100,200
99,200
98,200
98,200
98,200
98,200
99,200
98,200
97,200
97,200
97,200
98,200
98,200
99,200
100,200
101,200
101,200
102,200
102,200
101,200
101,200
100,200
100,200
99,200
98,200
98,200
99,200
98,200
98,200
97,200
98,200
99,200
100,200
100,200
100,200
99,200
99,200
98,200
98,200
98,200
99,200
98,200
98,200
99,200
99,200
98,200
97,200
98,200
98,200
97,200
96,200
96,200
95,200
96,200
96,200
96,200
95,200
94,200
93,200
93,200
94,200
93,200
93,200
94,200
95,200
94,200
93,200
92,200
93,200
93,200
93,200
94,200
95,200
96,200
97,200
98,200
99,200
99,200
99,200
99,200
99,200
100,200
100,200
99,200
98,200
98,200
99,200
99,200
98,200
98,200
97,200
96,200
95,200
94,200
93,200
92,200
92,200
91,200
90,200
91,200
90,200
91,200
91,200
91,200
90,200
89,200
90,200
90,200
89,200
89,200
88,200
89,200
88,200
87,200
86,200
86,200
86,200
87,200
88,200
89,200
88,200
87,200
87,200
88,200
87,200
88,200
89,200
88,200
87,200
88,200
88,200
89,200
90,200
91,200
90,200
90,200
89,200
89,200
88,200
89,200
88,200
88,200
87,200
87,200
88,200
88,200
87,200
86,200
86,200
87,200
87,200
88,200
87,200
87,200
87,200
87,200
88,200
88,200
89,200
89,200
88,200
89,200
89,200
89,200
90,200
89,200
88,200
87,200
86,200
85,200
86,200
85,200
86,200
87,200
87,200
87,200
86,200
86,200
86,200
87,200
87,200
88,200
89,200
88,200
89,200
89,200
88,200
89,200
89,200
90,200
89,200
90,200
89,200
90,200
90,200
91,200
91,200
92,200
92,200
92,200
91,200
90,200
89,200
88,200
87,200
86,200
87,200
86,200
86,200
85,200
85,200
86,200
86,200
87,200
87,200
87,200
88,200
88,200
87,200
88,200
87,200
86,200
86,200
87,200
86,200
85,200
86,200
87,200
86,200
86,200
87,200
87,200
87,200
87,200
88,200
88,200
88,200
89,200
88,200
87,200
86,200
85,200
84,200
83,200
82,200
83,200
83,200
83,200
82,200
82,200
83,200
83,200
83,200
82,200
82,200
82,200
81,200
80,200
80,200
79,200
79,200
79,200
79,200
79,200
78,200
78,200
77,200
77,200
76,200
76,200
77,200
76,200
77,200
77,200
78,200
77,200
76,200
75,200
76,200
75,200
74,200
73,200
72,200
72,200
72,200
73,200
74,200
73,200
74,200
73,200
74,200
73,200
72,200
73,200
72,200
72,200
71,200
70,200
69,200
68,200
69,200
69,200
68,200
69,200
69,200
70,200
69,200
70,200
69,200
70,200
69,200
70,200
69,200
68,200
68,200
68,200
68,200
68,200
68,200
69,200
70,200
70,200
70,200
69,200
68,200
68,200
67,200
66,200
65,200
64,200
63,200
62,200
63,200
62,200
62,200
63,200
63,200
63,200
62,200
63,200
64,200
65,200
64,200
65,200
66,200
65,200
64,200
65,200
65,200
65,200
65,200
64,200
64,200
65,200
65,200
65,200
64,200
63,200
62,200
63,200
62,200
62,200
63,200
64,200
65,200
64,200
63,200
62,200
61,200
60,200
59,200
60,200
61,200
61,200
62,200
63,200
64,200
63,200
63,200
64,200
64,200
63,200
63,200
64,200
64,200
63,200
63,200
62,200
63,200
64,200
65,200
64,200
63,200
63,200
63,200
62,200
62,200
63,200
62,200
61,200
61,200
60,200
60,200
60,200
59,200
59,200
58,200
58,200
58,200
59,200
60,200
59,200
58,200
58,200
58,200
59,200
60,200
59,200
60,200
60,200
60,200
60,200
59,200
59,200
59,200
59,200
60,200
59,200
60,200
59,200
60,200
61,200
60,200
60,200
61,200
60,200
61,200
62,200
62,200
61,200
60,200
61,200
61,200
61,200
61,200
60,200
61,200
62,200
61,200
62,200
62,200
63,200
63,200
63,200
64,200
64,200
63,200
63,200
64,200
63,200
63,200
63,200
63,200
62,200
62,200
62,200
61,200
62,200
62,200
61,200
62,200
61,200
60,200
60,200
61,200
61,200
62,200
62,200
61,200
61,200
62,200
61,200
62,200
63,200
64,200
65,200
64,200
65,200
66,200
65,200
66,200
66,200
65,200
65,200
65,200
66,200
65,200
64,200
64,200
64,200
63,200
64,200
65,200
65,200
64,200
63,200
63,200
62,200
61,200
61,200
60,200
60,200
61,200
60,200
61,200
62,200
61,200
62,200
62,200
62,200
61,200
62,200
62,200
63,200
63,200
64,200
65,200
66,200
65,200
65,200
65,200
64,200
63,200
63,200
62,200
63,200
63,200
62,200
63,200
63,200
62,200
63,200
64,200
65,200
65,200
66,200
66,200
67,200
67,200
66,200
66,200
65,200
65,200
64,200
65,200
64,200
64,200
65,200
66,200
65,200
64,200
63,200
63,200
63,200
64,200
64,200
64,200
63,200
62,200
61,200
60,200
61,200
61,200
61,200
62,200
61,200
61,200
62,200
63,200
64,200
65,200
65,200
65,200
64,200
63,200
63,200
63,200
63,200
62,200
63,200
64,200
63,200
63,200
63,200
63,200
62,200
62,200
63,200
64,200
63,200
62,200
61,200
61,200
60,200
60,200
59,200
59,200
59,200
58,200
59,200
60,200
59,200
59,200
60,200
59,200
59,200
59,200
59,200
58,200
59,200
60,200
60,200
60,200
60,200
60,200
61,200
60,200
59,200
59,200
59,200
59,200
59,200
59,200
60,200
61,200
62,200
62,200
63,200
64,200
63,200
64,200
65,200
65,200
66,200
65,200
65,200
66,200
66,200
67,200
67,200
67,200
68,200
67,200
68,200
67,200
66,200
65,200
65,200
66,200
67,200
68,200
68,200
68,200
67,200
67,200
66,200
67,200
68,200
68,200
69,200
70,200
71,200
72,200
73,200
72,200
72,200
73,200
74,200
74,200
73,200
73,200
73,200
74,200
74,200
75,200
75,200
76,200
76,200
76,200
76,200
76,200
75,200
76,200
76,200
75,200
76,200
75,200
74,200
74,200
75,200
75,200
75,200
74,200
74,200
75,200
75,200
75,200
76,200
75,200
74,200
73,200
73,200
72,200
71,200
70,200
71,200
72,200
73,200
73,200
72,200
71,200
70,200
69,200
69,200
69,200
69,200
69,200
68,200
69,200
70,200
69,200
69,200
68,200
68,200
68,200
68,200
69,200
69,200
68,200
67,200
68,200
68,200
68,200
67,200
66,200
66,200
66,200
67,200
66,200
65,200
64,200
63,200
62,200
62,200
61,200
60,200
60,200
59,200
60,200
59,200
58,200
58,200
57,200
58,200
57,200
58,200
57,200
57,200
58,200
59,200
59,200
59,200
58,200
58,200
58,200
57,200
58,200
57,200
58,200
58,200
57,200
57,200
58,200
58,200
57,200
57,200
58,200
59,200
60,200
60,200
59,200
60,200
59,200
59,200
60,200
59,200
60,200
61,200
62,200
61,200
62,200
63,200
63,200
64,200
63,200
63,200
62,200
62,200
62,200
61,200
61,200
60,200
61,200
60,200
59,200
59,200
58,200
59,200
60,200
60,200
61,200
61,200
62,200
62,200
62,200
62,200
62,200
61,200
60,200
59,200
58,200
57,200
57,200
56,200
55,200
55,200
55,200
56,200
57,200
57,200
56,200
55,200
54,200
53,200
53,200
54,200
55,200
54,200
55,200
56,200
55,200
54,200
55,200
55,200
56,200
55,200
56,200
55,200
54,200
55,200
56,200
57,200
58,200
59,200
60,200
61,200
62,200
61,200
61,200
62,200
62,200
61,200
61,200
60,200
59,200
59,200
58,200
58,200
57,200
58,200
57,200
56,200
55,200
54,200
53,200
54,200
54,200
54,200
55,200
55,200
54,200
54,200
55,200
55,200
56,200
55,200
56,200
57,200
56,200
56,200
57,200
58,200
58,200
57,200
58,200
57,200
57,200
58,200
57,200
58,200
59,200
59,200
59,200
59,200
58,200
59,200
60,200
60,200
60,200
61,200
60,200
60,200
59,200
60,200
61,200
62,200
63,200
64,200
64,200
65,200
66,200
65,200
64,200
63,200
64,200
64,200
64,200
63,200
63,200
62,200
61,200
60,200
59,200
59,200
59,200
58,200
59,200
58,200
59,200
58,200
59,200
59,200
59,200
60,200
60,200
59,200
59,200
59,200
58,200
57,200
57,200
57,200
56,200
56,200
56,200
56,200
56,200
55,200
54,200
53,200
54,200
54,200
55,200
56,200
57,200
57,200
56,200
55,200
54,200
54,200
55,200
54,200
53,200
54,200
53,200
53,200
52,200
52,200
51,200
52,200
51,200
52,200
52,200
53,200
53,200
53,200
53,200
53,200
53,200
53,200
54,200
54,200
54,200
55,200
54,200
55,200
54,200
54,200
54,200
54,200
55,200
54,200
53,200
54,200
54,200
54,200
53,200
54,200
54,200
54,200
53,200
54,200
55,200
55,200
55,200
54,200
55,200
54,200
55,200
54,200
55,200
55,200
56,200
57,200
58,200
59,200
58,200
58,200
59,200
58,200
57,200
57,200
56,200
56,200
55,200
56,200
57,200
56,200
55,200
54,200
54,200
53,200
52,200
53,200
54,200
53,200
52,200
53,200
54,200
54,200
54,200
55,200
54,200
54,200
53,200
54,200
54,200
55,200
56,200
56,200
56,200
57,200
57,200
56,200
56,200
56,200
55,200
56,200
55,200
55,200
54,200
53,200
54,200
54,200
55,200
54,200
53,200
54,200
55,200
54,200
54,200
55,200
55,200
56,200
56,200
57,200
56,200
57,200
57,200
57,200
58,200
58,200
57,200
57,200
56,200
55,200
56,200
56,200
57,200
57,200
57,200
58,200
58,200
59,200
59,200
58,200
59,200
58,200
57,200
58,200
57,200
58,200
57,200
58,200
59,200
60,200
61,200
60,200
60,200
60,200
60,200
59,200
58,200
59,200
58,200
59,200
59,200
58,200
57,200
56,200
57,200
56,200
57,200
56,200
56,200
57,200
56,200
56,200
56,200
55,200
56,200
56,200
56,200
57,200
56,200
57,200
57,200
58,200
59,200
60,200
61,200
60,200
61,200
62,200
63,200
64,200
63,200
62,200
61,200
62,200
61,200
60,200
61,200
62,200
62,200
61,200
61,200
60,200
61,200
60,200
59,200
58,200
57,200
58,200
58,200
57,200
56,200
57,200
56,200
56,200
56,200
57,200
58,200
58,200
57,200
57,200
57,200
57,200
57,200
57,200
56,200
56,200
57,200
57,200
56,200
56,200
56,200
57,200
56,200
57,200
57,200
57,200
56,200
56,200
57,200
56,200
55,200
55,200
54,200
53,200
52,200
53,200
54,200
53,200
54,200
54,200
55,200
55,200
56,200
55,200
54,200
54,200
54,200
55,200
55,200
56,200
56,200
56,200
57,200
57,200
57,200
57,200
56,200
56,200
56,200
55,200
54,200
54,200
55,200
56,200
55,200
56,200
57,200
58,200
59,200
58,200
59,200
59,200
60,200
61,200
62,200
61,200
60,200
59,200
59,200
59,200
58,200
58,200
57,200
56,200
57,200
56,200
57,200
56,200
56,200
55,200
56,200
56,200
55,200
56,200
56,200
56,200
56,200
55,200
55,200
56,200
55,200
56,200
55,200
56,200
57,200
57,200
57,200
57,200
57,200
58,200
57,200
56,200
56,200
57,200
58,200
57,200
58,200
57,200
57,200
58,200
59,200
58,200
58,200
59,200
59,200
59,200
60,200
61,200
62,200
61,200
62,200
63,200
64,200
65,200
65,200
65,200
64,200
65,200
65,200
65,200
65,200
64,200
65,200
66,200
66,200
66,200
67,200
66,200
66,200
65,200
66,200
66,200
65,200
64,200
64,200
64,200
65,200
65,200
65,200
66,200
67,200
67,200
66,200
67,200
67,200
66,200
67,200
67,200
68,200
68,200
69,200
68,200
68,200
67,200
68,200
68,200
68,200
67,200
68,200
67,200
66,200
67,200
67,200
66,200
67,200
68,200
68,200
67,200
67,200
68,200
68,200
67,200
68,200
67,200
66,200
67,200
68,200
67,200
66,200
66,200
66,200
66,200
65,200
66,200
65,200
65,200
66,200
66,200
67,200
68,200
67,200
68,200
68,200
67,200
67,200
68,200
69,200
69,200
68,200
67,200
66,200
67,200
67,200
67,200
67,200
68,200
67,200
66,200
67,200
66,200
67,200
68,200
67,200
68,200
67,200
68,200
69,200
68,200
69,200
69,200
68,200
69,200
69,200
69,200
69,200
70,200
70,200
70,200
70,200
70,200
70,200
69,200
69,200
70,200
69,200
70,200
71,200
70,200
69,200
68,200
68,200
69,200
68,200
69,200
70,200
71,200
72,200
71,200
71,200
72,200
73,200
73,200
72,200
72,200
71,200
72,200
73,200
73,200
72,200
71,200
72,200
71,200
72,200
71,200
72,200
71,200
72,200
72,200
72,200
73,200
74,200
74,200
73,200
73,200
73,200
73,200
74,200
75,200
74,200
75,200
75,200
74,200
74,200
74,200
75,200
76,200
75,200
75,200
75,200
76,200
77,200
77,200
76,200
77,200
77,200
76,200
75,200
75,200
76,200
77,200
76,200
77,200
76,200
76,200
77,200
76,200
76,200
77,200
78,200
78,200
78,200
78,200
79,200
80,200
79,200
80,200
80,200
79,200
78,200
77,200
76,200
75,200
75,200
76,200
75,200
76,200
77,200
78,200
79,200
78,200
77,200
77,200
77,200
78,200
77,200
78,200
79,200
79,200
79,200
79,200
78,200
79,200
79,200
80,200
79,200
80,200
80,200
79,200
78,200
77,200
78,200
78,200
77,200
78,200
77,200
76,200
76,200
75,200
76,200
77,200
78,200
77,200
76,200
76,200
75,200
75,200
75,200
75,200
75,200
74,200
73,200
73,200
73,200
74,200
75,200
75,200
76,200
76,200
75,200
75,200
74,200
74,200
74,200
73,200
74,200
75,200
76,200
75,200
74,200
73,200
72,200
72,200
71,200
70,200
70,200
70,200
69,200
68,200
67,200
68,200
68,200
67,200
68,200
67,200
67,200
68,200
69,200
70,200
69,200
70,200
69,200
70,200
69,200
68,200
69,200
70,200
69,200
69,200
68,200
69,200
69,200
69,200
69,200
70,200
71,200
70,200
71,200
71,200
72,200
73,200
72,200
71,200
70,200
70,200
69,200
69,200
69,200
68,200
67,200
66,200
67,200
68,200
69,200
70,200
71,200
70,200
70,200
71,200
70,200
69,200
69,200
70,200
71,200
72,200
73,200
74,200
73,200
73,200
73,200
73,200
74,200
75,200
74,200
73,200
74,200
73,200
74,200
74,200
74,200
74,200
75,200
76,200
76,200
75,200
75,200
75,200
74,200
74,200
75,200
75,200
76,200
75,200
76,200
77,200
77,200
76,200
76,200
75,200
74,200
74,200
73,200
73,200
72,200
73,200
73,200
72,200
72,200
72,200
73,200
72,200
71,200
71,200
71,200
72,200
73,200
72,200
73,200
72,200
71,200
70,200
70,200
71,200
70,200
69,200
69,200
70,200
71,200
71,200
70,200
70,200
70,200
71,200
70,200
69,200
69,200
68,200
67,200
66,200
65,200
65,200
65,200
65,200
64,200
63,200
62,200
61,200
60,200
61,200
61,200
60,200
59,200
59,200
58,200
59,200
60,200
61,200
61,200
62,200
62,200
62,200
62,200
63,200
63,200
62,200
63,200
64,200
64,200
65,200
66,200
65,200
64,200
65,200
66,200
67,200
67,200
66,200
65,200
66,200
66,200
67,200
66,200
65,200
64,200
64,200
64,200
64,200
65,200
65,200
65,200
65,200
64,200
63,200
64,200
64,200
64,200
64,200
65,200
66,200
67,200
66,200
67,200
66,200
65,200
64,200
65,200
65,200
66,200
67,200
67,200
66,200
66,200
66,200
66,200
65,200
65,200
66,200
67,200
66,200
67,200
67,200
67,200
68,200
69,200
69,200
70,200
70,200
70,200
70,200
69,200
70,200
71,200
